# Spectral information (removed from HDR for SNAP compatibility)
# Band, Wavelength (nm), FWHM (nm)
band_1, 426.82, 11.3871
band_2, 436.99, 11.3871
band_3, 447.17, 11.3871
band_4, 457.34, 11.3871
band_5, 467.52, 11.3871
band_6, 477.69, 11.3871
band_7, 487.87, 11.3784
band_8, 498.04, 11.3538
band_9, 508.22, 11.3133
band_10, 518.39, 11.258
band_11, 528.57, 11.1907
band_12, 538.74, 11.1119
band_13, 548.92, 11.0245
band_14, 559.09, 10.9321
band_15, 569.27, 10.8368
band_16, 579.45, 10.7407
band_17, 589.62, 10.6482
band_18, 599.8, 10.5607
band_19, 609.97, 10.4823
band_20, 620.15, 10.4147
band_21, 630.32, 10.3595
band_22, 640.5, 10.3188
band_23, 650.67, 10.2942
band_24, 660.85, 10.2856
band_25, 671.02, 10.298
band_26, 681.2, 10.3349
band_27, 691.37, 10.3909
band_28, 701.55, 10.4592
band_29, 711.72, 10.5322
band_30, 721.9, 10.6004
band_31, 732.07, 10.6562
band_32, 742.25, 10.6933
band_33, 752.43, 10.7058
band_34, 762.6, 10.7276
band_35, 772.78, 10.7907
band_36, 782.95, 10.8833
band_37, 793.13, 10.9938
band_38, 803.3, 11.1044
band_39, 813.48, 11.198
band_40, 823.65, 11.26
band_41, 833.83, 11.2824
band_42, 844.0, 11.2822
band_43, 854.18, 11.2816
band_44, 864.35, 11.2809
band_45, 874.53, 11.2797
band_46, 884.7, 11.2782
band_47, 894.88, 11.2771
band_48, 905.05, 11.2765
band_49, 915.23, 11.2756
band_50, 922.54, 11.0457
band_51, 932.64, 11.0457
band_52, 942.73, 11.0457
band_53, 952.82, 11.0457
band_54, 962.91, 11.0457
band_55, 972.99, 11.0457
band_56, 983.08, 11.0457
band_57, 993.17, 11.0457
band_58, 1003.3, 11.0457
band_59, 1013.3, 11.0457
band_60, 1023.4, 11.0451
band_61, 1033.49, 11.0423
band_62, 1043.59, 11.0372
band_63, 1053.69, 11.0302
band_64, 1063.79, 11.0218
band_65, 1073.89, 11.0122
band_66, 1083.99, 11.0013
band_67, 1094.09, 10.9871
band_68, 1104.19, 10.9732
band_69, 1114.19, 10.9572
band_70, 1124.28, 10.9418
band_71, 1134.38, 10.9248
band_72, 1144.48, 10.9065
band_73, 1154.58, 10.8884
band_74, 1164.68, 10.8696
band_75, 1174.77, 10.8513
band_76, 1184.87, 10.8335
band_77, 1194.97, 10.8154
band_78, 1205.07, 10.7979
band_79, 1215.17, 10.7822
band_80, 1225.17, 10.7663
band_81, 1235.27, 10.752
band_82, 1245.36, 10.7385
band_83, 1255.46, 10.727
band_84, 1265.56, 10.7174
band_85, 1275.66, 10.7091
band_86, 1285.76, 10.7022
band_87, 1295.86, 10.697
band_88, 1305.96, 10.6946
band_89, 1316.05, 10.6937
band_90, 1326.05, 10.6949
band_91, 1336.15, 10.6996
band_92, 1346.25, 10.7058
band_93, 1356.35, 10.7163
band_94, 1366.45, 10.7283
band_95, 1376.55, 10.7437
band_96, 1386.65, 10.7612
band_97, 1396.74, 10.7807
band_98, 1406.84, 10.8034
band_99, 1416.94, 10.8267
band_100, 1426.94, 10.8534
band_101, 1437.04, 10.8818
band_102, 1447.14, 10.911
band_103, 1457.23, 10.9422
band_104, 1467.33, 10.9743
band_105, 1477.43, 11.0074
band_106, 1487.53, 11.0414
band_107, 1497.63, 11.0759
band_108, 1507.73, 11.1108
band_109, 1517.83, 11.1461
band_110, 1527.92, 11.1811
band_111, 1537.92, 11.2156
band_112, 1548.02, 11.2496
band_113, 1558.12, 11.2826
band_114, 1568.22, 11.3146
band_115, 1578.32, 11.346
band_116, 1588.42, 11.3753
band_117, 1598.51, 11.4037
band_118, 1608.61, 11.4302
band_119, 1618.71, 11.4538
band_120, 1628.81, 11.476
band_121, 1638.81, 11.4958
band_122, 1648.9, 11.5133
band_123, 1659.0, 11.5286
band_124, 1669.1, 11.5404
band_125, 1679.2, 11.5505
band_126, 1689.3, 11.558
band_127, 1699.4, 11.5621
band_128, 1709.5, 11.5634
band_129, 1719.6, 11.5617
