Wavelength,Alunite GDS84 Na03 BECKa
426.82,0.358929
437.00,0.373141
447.17,0.388704
457.34,0.408669
467.51,0.430180
477.69,0.449751
487.86,0.467817
498.03,0.487933
508.21,0.512277
518.38,0.533860
528.55,0.545482
538.72,0.551755
548.90,0.559712
559.07,0.571444
569.24,0.588607
579.42,0.608722
589.59,0.630456
599.76,0.653553
609.93,0.676613
620.11,0.697930
630.28,0.717210
640.45,0.735291
650.63,0.751288
660.80,0.765695
670.97,0.775704
681.14,0.783987
691.32,0.791886
701.49,0.799117
711.66,0.804742
721.84,0.811215
732.01,0.816763
742.18,0.821785
752.35,0.827455
762.53,0.833340
772.70,0.837711
782.87,0.842367
793.05,0.846767
803.22,0.850807
813.39,0.853235
823.56,0.855753
833.74,0.857598
843.91,0.857564
854.08,0.857310
864.26,0.858393
874.43,0.860005
884.60,0.860100
894.78,0.859646
904.95,0.858322
915.13,0.857001
925.30,0.856511
852.41,0.853595
862.58,0.850194
872.76,0.847251
882.94,0.850608
893.11,0.848504
903.29,0.850420
913.46,0.850188
923.64,0.852332
933.82,0.849082
943.99,0.848600
954.17,0.849691
964.34,0.846126
974.52,0.839332
984.70,0.833714
994.87,0.833016
1005.05,0.839977
1015.22,0.853769
1025.40,0.859313
1035.58,0.861990
1045.75,0.863948
1055.93,0.856950
1066.10,0.853972
1076.28,0.851294
1086.46,0.846768
1096.63,0.850432
1106.81,0.848679
1116.98,0.850243
1127.16,0.849705
1137.34,0.852277
1147.51,0.850266
1157.69,0.847819
1167.86,0.850456
1178.04,0.847110
1188.22,0.842102
1198.39,0.834742
1208.57,0.832964
1218.74,0.835966
1228.92,0.849077
1239.10,0.858126
1249.27,0.861178
1259.45,0.863007
1269.62,0.864225
1279.80,0.864460
1289.98,0.865676
1300.15,0.866501
1310.33,0.867566
1320.50,0.867487
1330.68,0.869946
1340.86,0.872126
1351.03,0.872750
1361.21,0.872053
1371.38,0.871330
1381.56,0.870671
1391.74,0.872190
1401.91,0.869582
1412.09,0.865371
1422.26,0.859415
1432.44,0.850790
1442.62,0.842714
1452.79,0.835592
1548.63,0.823198
1558.80,0.799403
1568.98,0.806846
1579.16,0.834960
1589.33,0.849645
1599.51,0.849722
1609.68,0.842848
1619.86,0.831647
1630.04,0.814415
1640.21,0.810108
1650.39,0.810687
1660.56,0.818139
1670.74,0.817790
1680.92,0.809816
1691.09,0.795833
1701.27,0.761903
1711.44,0.692460
1721.62,0.559924
1731.80,0.612383
1741.97,0.638428
1752.15,0.600370
1762.32,0.569644
1772.50,0.477784
1782.68,0.587354
1792.85,0.658370
1803.03,0.691682
1813.20,0.722493
1823.38,0.733757
1833.56,0.736997
1843.73,0.740689
1853.91,0.741530
1864.08,0.740175
1874.26,0.736575
1884.44,0.736242
1894.61,0.734839
1904.79,0.733240
1914.96,0.732873
1925.14,0.731613
1935.32,0.728853
1945.49,0.726447
1955.67,0.723992
1965.84,0.714233
1976.02,0.706540
1986.20,0.700161
1996.37,0.693846
2006.55,0.686868
2016.72,0.669109
2026.90,0.641073
2037.08,0.609788
2047.25,0.582002
2057.43,0.555484
2067.60,0.554095
2077.78,0.582082
2087.96,0.630633
2098.13,0.666407
2108.31,0.675539
2118.48,0.676532
2128.66,0.675770
2138.84,0.671287
2149.01,0.666205
2159.19,0.659076
2169.36,0.648999
2179.54,0.635610
2189.72,0.617499
2199.89,0.598865
2210.07,0.577765
2220.24,0.559577
2230.42,0.552097
2240.60,0.545606
2250.77,0.536015
2260.95,0.531879
2271.12,0.532305
2281.30,0.531535
2291.48,0.520021
2301.65,0.502745
2311.83,0.492665
2322.00,0.493766
2332.18,0.493764
2342.36,0.488611
2352.53,0.476168
2362.71,0.466934
2372.88,0.467044
2383.06,0.472059
2393.24,0.461772
2403.41,0.442493
2413.59,0.407105
2423.76,0.362500
2433.94,0.326878
