Wavelength,Goethite HS36.3 BECKb
426.82,0.037257
437.00,0.038311
447.17,0.039588
457.34,0.039939
467.51,0.039522
477.69,0.039305
487.86,0.039207
498.03,0.039456
508.21,0.040112
518.38,0.040588
528.55,0.040197
538.72,0.040428
548.90,0.040693
559.07,0.041486
569.24,0.042806
579.42,0.044812
589.59,0.047503
599.76,0.051708
609.93,0.056426
620.11,0.061526
630.28,0.065983
640.45,0.069596
650.63,0.072467
660.80,0.073436
670.97,0.074230
681.14,0.074314
691.32,0.074327
701.49,0.074154
711.66,0.074606
721.84,0.074600
732.01,0.074854
742.18,0.075141
752.35,0.075929
762.53,0.076602
772.70,0.077267
782.87,0.078077
793.05,0.078677
803.22,0.079387
813.39,0.080049
823.56,0.080261
833.74,0.080011
843.91,0.079732
854.08,0.079266
864.26,0.078473
874.43,0.078055
884.60,0.077277
894.78,0.076614
904.95,0.075542
915.13,0.075075
925.30,0.076203
852.41,0.075683
862.58,0.075593
872.76,0.073893
882.94,0.075912
893.11,0.073046
903.29,0.073094
913.46,0.072464
923.64,0.072874
933.82,0.071325
943.99,0.071852
954.17,0.074609
964.34,0.073308
974.52,0.072768
984.70,0.073665
994.87,0.073334
1005.05,0.072413
1015.22,0.073886
1025.40,0.075093
1035.58,0.075455
1045.75,0.075845
1055.93,0.076282
1066.10,0.075424
1076.28,0.076090
1086.46,0.073539
1096.63,0.075985
1106.81,0.073595
1116.98,0.073216
1127.16,0.072253
1137.34,0.073225
1147.51,0.071515
1157.69,0.071291
1167.86,0.074198
1178.04,0.073766
1188.22,0.072780
1198.39,0.073493
1208.57,0.073510
1218.74,0.072525
1228.92,0.073297
1239.10,0.074816
1249.27,0.075173
1259.45,0.075918
1269.62,0.075975
1279.80,0.075914
1289.98,0.075449
1300.15,0.077247
1310.33,0.077673
1320.50,0.078434
1330.68,0.078005
1340.86,0.078908
1351.03,0.078734
1361.21,0.079067
1371.38,0.080155
1381.56,0.081182
1391.74,0.082590
1401.91,0.082320
1412.09,0.081741
1422.26,0.082603
1432.44,0.082531
1442.62,0.083246
1452.79,0.083357
1548.63,0.083504
1558.80,0.083942
1568.98,0.083886
1579.16,0.083757
1589.33,0.084185
1599.51,0.083787
1609.68,0.085023
1619.86,0.084889
1630.04,0.085442
1640.21,0.084707
1650.39,0.084816
1660.56,0.085854
1670.74,0.086768
1680.92,0.087866
1691.09,0.086059
1701.27,0.086172
1711.44,0.085927
1721.62,0.086602
1731.80,0.087027
1741.97,0.088175
1752.15,0.088264
1762.32,0.088277
1772.50,0.087958
1782.68,0.089271
1792.85,0.089589
1803.03,0.089599
1813.20,0.089742
1823.38,0.089389
1833.56,0.089641
1843.73,0.089350
1853.91,0.090601
1864.08,0.090554
1874.26,0.090480
1884.44,0.091415
1894.61,0.091809
1904.79,0.092232
1914.96,0.092138
1925.14,0.091300
1935.32,0.092605
1945.49,0.091839
1955.67,0.092041
1965.84,0.091940
1976.02,0.092415
1986.20,0.094874
1996.37,0.094992
2006.55,0.095495
2016.72,0.094313
2026.90,0.092950
2037.08,0.093885
2047.25,0.092779
2057.43,0.094649
2067.60,0.095046
2077.78,0.096743
2087.96,0.099467
2098.13,0.096556
2108.31,0.096890
2118.48,0.096661
2128.66,0.097974
2138.84,0.099719
2149.01,0.099403
2159.19,0.100328
2169.36,0.100515
2179.54,0.101052
2189.72,0.102076
2199.89,0.101285
2210.07,0.100813
2220.24,0.101465
2230.42,0.100454
2240.60,0.101249
2250.77,0.102840
2260.95,0.102309
2271.12,0.103706
2281.30,0.105366
2291.48,0.106986
2301.65,0.105665
2311.83,0.107622
2322.00,0.106132
2332.18,0.108737
2342.36,0.108519
2352.53,0.109424
2362.71,0.109978
2372.88,0.111195
2383.06,0.110765
2393.24,0.110317
2403.41,0.113252
2413.59,0.110242
2423.76,0.112489
2433.94,0.114349
