Wavelength,Hematite GDS27 BECKa
426.82,0.017931
437.00,0.017940
447.17,0.018341
457.34,0.019323
467.51,0.019739
477.69,0.020267
487.86,0.020525
498.03,0.020628
508.21,0.020642
518.38,0.020461
528.55,0.020341
538.72,0.020150
548.90,0.020323
559.07,0.020577
569.24,0.020809
579.42,0.021300
589.59,0.021949
599.76,0.022706
609.93,0.024337
620.11,0.027365
630.28,0.034743
640.45,0.050544
650.63,0.077257
660.80,0.111128
670.97,0.142500
681.14,0.163924
691.32,0.176366
701.49,0.183904
711.66,0.189973
721.84,0.196671
732.01,0.205222
742.18,0.215522
752.35,0.228697
762.53,0.243442
772.70,0.260171
782.87,0.277170
793.05,0.292722
803.22,0.304832
813.39,0.310717
823.56,0.309989
833.74,0.303588
843.91,0.293852
854.08,0.282654
864.26,0.270914
874.43,0.260251
884.60,0.251206
894.78,0.242783
904.95,0.235615
915.13,0.231819
925.30,0.233584
852.41,0.230778
862.58,0.231282
872.76,0.234855
882.94,0.237165
893.11,0.242234
903.29,0.249199
913.46,0.257243
923.64,0.271707
933.82,0.282423
943.99,0.298028
954.17,0.318535
964.34,0.337696
974.52,0.357622
984.70,0.379545
994.87,0.401874
1005.05,0.422375
1015.22,0.441600
1025.40,0.458956
1035.58,0.474316
1045.75,0.488120
1055.93,0.233561
1066.10,0.231250
1076.28,0.230764
1086.46,0.234125
1096.63,0.236451
1106.81,0.240460
1116.98,0.247607
1127.16,0.253904
1137.34,0.267822
1147.51,0.279305
1157.69,0.292170
1167.86,0.312368
1178.04,0.331324
1188.22,0.350936
1198.39,0.371895
1208.57,0.394264
1218.74,0.415111
1228.92,0.434770
1239.10,0.452876
1249.27,0.468645
1259.45,0.482381
1269.62,0.497197
1279.80,0.511393
1289.98,0.526775
1300.15,0.541987
1310.33,0.558347
1320.50,0.575611
1330.68,0.592524
1340.86,0.612519
1351.03,0.632265
1361.21,0.651783
1371.38,0.671497
1381.56,0.691324
1391.74,0.712432
1401.91,0.728822
1412.09,0.743293
1422.26,0.757558
1432.44,0.768410
1442.62,0.778290
1452.79,0.787879
1548.63,0.795153
1558.80,0.801829
1568.98,0.805514
1579.16,0.809528
1589.33,0.812949
1599.51,0.815706
1609.68,0.817661
1619.86,0.820260
1630.04,0.820719
1640.21,0.821995
1650.39,0.822801
1660.56,0.823718
1670.74,0.819192
1680.92,0.814161
1691.09,0.816010
1701.27,0.813873
1711.44,0.815597
1721.62,0.817529
1731.80,0.816414
1741.97,0.818632
1752.15,0.818798
1762.32,0.821473
1772.50,0.823226
1782.68,0.827272
1792.85,0.827359
1803.03,0.825635
1813.20,0.828501
1823.38,0.829873
1833.56,0.830927
1843.73,0.832893
1853.91,0.833477
1864.08,0.833981
1874.26,0.833832
1884.44,0.834458
1894.61,0.833714
1904.79,0.834673
1914.96,0.835155
1925.14,0.833593
1935.32,0.833882
1945.49,0.834304
1955.67,0.834341
1965.84,0.833639
1976.02,0.831070
1986.20,0.833705
1996.37,0.837621
2006.55,0.838825
2016.72,0.834918
2026.90,0.831835
2037.08,0.836400
2047.25,0.834443
2057.43,0.833484
2067.60,0.832626
2077.78,0.834124
2087.96,0.835154
2098.13,0.833394
2108.31,0.831678
2118.48,0.830951
2128.66,0.827920
2138.84,0.827389
2149.01,0.828074
2159.19,0.825304
2169.36,0.814140
2179.54,0.788575
2189.72,0.785272
2199.89,0.794371
2210.07,0.795740
2220.24,0.789913
2230.42,0.788543
2240.60,0.791251
2250.77,0.788474
2260.95,0.793495
2271.12,0.794889
2281.30,0.795925
2291.48,0.800049
2301.65,0.800485
2311.83,0.802117
2322.00,0.805789
2332.18,0.805307
2342.36,0.808649
2352.53,0.811582
2362.71,0.812184
2372.88,0.815269
2383.06,0.814585
2393.24,0.814110
2403.41,0.819994
2413.59,0.821198
2423.76,0.822973
2433.94,0.826439
