Wavelength,Jarosite GDS100 Na 90C Syn BECKa
426.82,0.016333
437.00,0.017636
447.17,0.020425
457.34,0.027488
467.51,0.046625
477.69,0.082103
487.86,0.109221
498.03,0.104658
508.21,0.096607
518.38,0.129278
528.55,0.178788
538.72,0.222034
548.90,0.258492
559.07,0.294592
569.24,0.332985
579.42,0.373441
589.59,0.415591
599.76,0.458109
609.93,0.499593
620.11,0.540308
630.28,0.575437
640.45,0.601445
650.63,0.619718
660.80,0.635026
670.97,0.653130
681.14,0.670883
691.32,0.686528
701.49,0.699790
711.66,0.711965
721.84,0.723637
732.01,0.735943
742.18,0.748690
752.35,0.759947
762.53,0.768923
772.70,0.776865
782.87,0.775809
793.05,0.767321
803.22,0.753224
813.39,0.736101
823.56,0.714921
833.74,0.693578
843.91,0.671916
854.08,0.650547
864.26,0.629851
874.43,0.609478
884.60,0.590590
894.78,0.573692
904.95,0.558597
915.13,0.545427
925.30,0.535974
852.41,0.531370
862.58,0.531412
872.76,0.525436
882.94,0.526329
893.11,0.528367
903.29,0.530430
913.46,0.534293
923.64,0.538652
933.82,0.543382
943.99,0.551977
954.17,0.560162
964.34,0.571413
974.52,0.581034
984.70,0.591898
994.87,0.604399
1005.05,0.616347
1015.22,0.629620
1025.40,0.640779
1035.58,0.651286
1045.75,0.662503
1055.93,0.538101
1066.10,0.531116
1076.28,0.532251
1086.46,0.526305
1096.63,0.525771
1106.81,0.527879
1116.98,0.529744
1127.16,0.532982
1137.34,0.537563
1147.51,0.541521
1157.69,0.549365
1167.86,0.557133
1178.04,0.568145
1188.22,0.577366
1198.39,0.588271
1208.57,0.599914
1218.74,0.612053
1228.92,0.624775
1239.10,0.636734
1249.27,0.647161
1259.45,0.657995
1269.62,0.669342
1279.80,0.678076
1289.98,0.687069
1300.15,0.695093
1310.33,0.704446
1320.50,0.713323
1330.68,0.721095
1340.86,0.729107
1351.03,0.737013
1361.21,0.745472
1371.38,0.751811
1381.56,0.760929
1391.74,0.768865
1401.91,0.777230
1412.09,0.784398
1422.26,0.793482
1432.44,0.800796
1442.62,0.808402
1452.79,0.816497
1548.63,0.824675
1558.80,0.831939
1568.98,0.839092
1579.16,0.846347
1589.33,0.853654
1599.51,0.860066
1609.68,0.865626
1619.86,0.871282
1630.04,0.875584
1640.21,0.879524
1650.39,0.882937
1660.56,0.885156
1670.74,0.887200
1680.92,0.887475
1691.09,0.886137
1701.27,0.879862
1711.44,0.866953
1721.62,0.851728
1731.80,0.840494
1741.97,0.835141
1752.15,0.825207
1762.32,0.807421
1772.50,0.797656
1782.68,0.800762
1792.85,0.807283
1803.03,0.811625
1813.20,0.815493
1823.38,0.820321
1833.56,0.823508
1843.73,0.829286
1853.91,0.832036
1864.08,0.835647
1874.26,0.837379
1884.44,0.839310
1894.61,0.841399
1904.79,0.841993
1914.96,0.843244
1925.14,0.844647
1935.32,0.845680
1945.49,0.846044
1955.67,0.846017
1965.84,0.846773
1976.02,0.846767
1986.20,0.846978
1996.37,0.847380
2006.55,0.847536
2016.72,0.845872
2026.90,0.845132
2037.08,0.843266
2047.25,0.844053
2057.43,0.841002
2067.60,0.837639
2077.78,0.835719
2087.96,0.835053
2098.13,0.832064
2108.31,0.827504
2118.48,0.822595
2128.66,0.810621
2138.84,0.788735
2149.01,0.778915
2159.19,0.788231
2169.36,0.804421
2179.54,0.810208
2189.72,0.803563
2199.89,0.780506
2210.07,0.749834
2220.24,0.722655
2230.42,0.699432
2240.60,0.691136
2250.77,0.694641
2260.95,0.693897
2271.12,0.693592
2281.30,0.696186
2291.48,0.701128
2301.65,0.703049
2311.83,0.708769
2322.00,0.715233
2332.18,0.718680
2342.36,0.720479
2352.53,0.723054
2362.71,0.726432
2372.88,0.730988
2383.06,0.735535
2393.24,0.739288
2403.41,0.743021
2413.59,0.748026
2423.76,0.752659
2433.94,0.753513
