Wavelength,Jarosite GDS99 K 200C Syn BECKa
426.82,0.018866
437.00,0.024328
447.17,0.031528
457.34,0.044923
467.51,0.075300
477.69,0.124380
487.86,0.159987
498.03,0.155246
508.21,0.143919
518.38,0.178717
528.55,0.226624
538.72,0.259940
548.90,0.282929
559.07,0.304032
569.24,0.325809
579.42,0.348873
589.59,0.374513
599.76,0.402772
609.93,0.433533
620.11,0.466312
630.28,0.496470
640.45,0.519078
650.63,0.533805
660.80,0.546016
670.97,0.561158
681.14,0.578333
691.32,0.595676
701.49,0.611518
711.66,0.626775
721.84,0.643275
732.01,0.661954
742.18,0.683874
752.35,0.704981
762.53,0.723574
772.70,0.739877
782.87,0.744776
793.05,0.738695
803.22,0.724141
813.39,0.704765
823.56,0.680775
833.74,0.656043
843.91,0.630232
854.08,0.604914
864.26,0.579968
874.43,0.555853
884.60,0.533122
894.78,0.513532
904.95,0.495603
915.13,0.479165
925.30,0.466260
852.41,0.455926
862.58,0.451045
872.76,0.443110
882.94,0.436746
893.11,0.435718
903.29,0.434322
913.46,0.431943
923.64,0.432061
933.82,0.431430
943.99,0.432809
954.17,0.437043
964.34,0.441294
974.52,0.445104
984.70,0.451753
994.87,0.458661
1005.05,0.467013
1015.22,0.475743
1025.40,0.484344
1035.58,0.493318
1045.75,0.503142
1055.93,0.469251
1066.10,0.457197
1076.28,0.452187
1086.46,0.445280
1096.63,0.437797
1106.81,0.435736
1116.98,0.435066
1127.16,0.432182
1137.34,0.432179
1147.51,0.431457
1157.69,0.432054
1167.86,0.435566
1178.04,0.440115
1188.22,0.443419
1198.39,0.449679
1208.57,0.455851
1218.74,0.464051
1228.92,0.472449
1239.10,0.481106
1249.27,0.489767
1259.45,0.499152
1269.62,0.509191
1279.80,0.518241
1289.98,0.525863
1300.15,0.533178
1310.33,0.540238
1320.50,0.546575
1330.68,0.551635
1340.86,0.557159
1351.03,0.561759
1361.21,0.566523
1371.38,0.570238
1381.56,0.575796
1391.74,0.580786
1401.91,0.586328
1412.09,0.591978
1422.26,0.599836
1432.44,0.604915
1442.62,0.611046
1452.79,0.618540
1548.63,0.626439
1558.80,0.633495
1568.98,0.641635
1579.16,0.650259
1589.33,0.660232
1599.51,0.669306
1609.68,0.676242
1619.86,0.685939
1630.04,0.696914
1640.21,0.705815
1650.39,0.714739
1660.56,0.721674
1670.74,0.730659
1680.92,0.739148
1691.09,0.743519
1701.27,0.746155
1711.44,0.743337
1721.62,0.741574
1731.80,0.739084
1741.97,0.728913
1752.15,0.699888
1762.32,0.648591
1772.50,0.679609
1782.68,0.714123
1792.85,0.716041
1803.03,0.710998
1813.20,0.706397
1823.38,0.709606
1833.56,0.718839
1843.73,0.740890
1853.91,0.753125
1864.08,0.764959
1874.26,0.774352
1884.44,0.783594
1894.61,0.791601
1904.79,0.797293
1914.96,0.803021
1925.14,0.807243
1935.32,0.809758
1945.49,0.811874
1955.67,0.812340
1965.84,0.813465
1976.02,0.813292
1986.20,0.813837
1996.37,0.814438
2006.55,0.811023
2016.72,0.807628
2026.90,0.805987
2037.08,0.801376
2047.25,0.794414
2057.43,0.788080
2067.60,0.784204
2077.78,0.779568
2087.96,0.776812
2098.13,0.770649
2108.31,0.759070
2118.48,0.747184
2128.66,0.732276
2138.84,0.683918
2149.01,0.642431
2159.19,0.638515
2169.36,0.671393
2179.54,0.709857
2189.72,0.710491
2199.89,0.681547
2210.07,0.650914
2220.24,0.631951
2230.42,0.626109
2240.60,0.625252
2250.77,0.629458
2260.95,0.631570
2271.12,0.634207
2281.30,0.641012
2291.48,0.646457
2301.65,0.648322
2311.83,0.651567
2322.00,0.656068
2332.18,0.653896
2342.36,0.650354
2352.53,0.650020
2362.71,0.645285
2372.88,0.638503
2383.06,0.635350
2393.24,0.633550
2403.41,0.627980
2413.59,0.624908
2423.76,0.620970
2433.94,0.611324
