Wavelength,Pyrite HS35.3 BECKb
426.82,0.042644
437.00,0.048714
447.17,0.054329
457.34,0.058520
467.51,0.061824
477.69,0.064320
487.86,0.066785
498.03,0.069145
508.21,0.071998
518.38,0.074919
528.55,0.078207
538.72,0.081892
548.90,0.085643
559.07,0.089251
569.24,0.092097
579.42,0.094572
589.59,0.096304
599.76,0.097845
609.93,0.099271
620.11,0.100549
630.28,0.101661
640.45,0.102758
650.63,0.103868
660.80,0.104367
670.97,0.104211
681.14,0.104096
691.32,0.104290
701.49,0.104659
711.66,0.105481
721.84,0.106323
732.01,0.107084
742.18,0.107960
752.35,0.108693
762.53,0.109114
772.70,0.109503
782.87,0.109426
793.05,0.109173
803.22,0.108513
813.39,0.107657
823.56,0.106496
833.74,0.105510
843.91,0.104672
854.08,0.103580
864.26,0.102477
874.43,0.101325
884.60,0.100150
894.78,0.099062
904.95,0.097581
915.13,0.096279
925.30,0.095375
852.41,0.094745
862.58,0.094403
872.76,0.094430
882.94,0.094636
893.11,0.093995
903.29,0.092311
913.46,0.091305
923.64,0.090763
933.82,0.090786
943.99,0.088199
954.17,0.088501
964.34,0.088065
974.52,0.087254
984.70,0.086194
994.87,0.086133
1005.05,0.085009
1015.22,0.084492
1025.40,0.084167
1035.58,0.083660
1045.75,0.083945
1055.93,0.095551
1066.10,0.094850
1076.28,0.094445
1086.46,0.094380
1096.63,0.094608
1106.81,0.094346
1116.98,0.092676
1127.16,0.091658
1137.34,0.090659
1147.51,0.091121
1157.69,0.088797
1167.86,0.088377
1178.04,0.088385
1188.22,0.087287
1198.39,0.086598
1208.57,0.086114
1218.74,0.085546
1228.92,0.084703
1239.10,0.083990
1249.27,0.084115
1259.45,0.083914
1269.62,0.083514
1279.80,0.083676
1289.98,0.082711
1300.15,0.082747
1310.33,0.082220
1320.50,0.081963
1330.68,0.082251
1340.86,0.081598
1351.03,0.081342
1361.21,0.080871
1371.38,0.080685
1381.56,0.080291
1391.74,0.081145
1401.91,0.080630
1412.09,0.079965
1422.26,0.080211
1432.44,0.079935
1442.62,0.080324
1452.79,0.080439
1548.63,0.080185
1558.80,0.079586
1568.98,0.079784
1579.16,0.079861
1589.33,0.078720
1599.51,0.078969
1609.68,0.079028
1619.86,0.078896
1630.04,0.078975
1640.21,0.079048
1650.39,0.078897
1660.56,0.079260
1670.74,0.079481
1680.92,0.080394
1691.09,0.079777
1701.27,0.079458
1711.44,0.079063
1721.62,0.080111
1731.80,0.079734
1741.97,0.080420
1752.15,0.080505
1762.32,0.080537
1772.50,0.080328
1782.68,0.080295
1792.85,0.080665
1803.03,0.080045
1813.20,0.080106
1823.38,0.080647
1833.56,0.080260
1843.73,0.080295
1853.91,0.080926
1864.08,0.080452
1874.26,0.080482
1884.44,0.080560
1894.61,0.080228
1904.79,0.080511
1914.96,0.079940
1925.14,0.079619
1935.32,0.079240
1945.49,0.079389
1955.67,0.079346
1965.84,0.079291
1976.02,0.079217
1986.20,0.080060
1996.37,0.080537
2006.55,0.079233
2016.72,0.079436
2026.90,0.079096
2037.08,0.078276
2047.25,0.079200
2057.43,0.079034
2067.60,0.079014
2077.78,0.078573
2087.96,0.080588
2098.13,0.079663
2108.31,0.079003
2118.48,0.078045
2128.66,0.078049
2138.84,0.078788
2149.01,0.077771
2159.19,0.077418
2169.36,0.077878
2179.54,0.076486
2189.72,0.077240
2199.89,0.076573
2210.07,0.077833
2220.24,0.076646
2230.42,0.075494
2240.60,0.075677
2250.77,0.075565
2260.95,0.074363
2271.12,0.074928
2281.30,0.074651
2291.48,0.074394
2301.65,0.075083
2311.83,0.075028
2322.00,0.074023
2332.18,0.074737
2342.36,0.075080
2352.53,0.073848
2362.71,0.074487
2372.88,0.073734
2383.06,0.074861
2393.24,0.074847
2403.41,0.075661
2413.59,0.075501
2423.76,0.075226
2433.94,0.074794
