Wavelength,Schwertmannite BZ93-1 BECKb
426.82,0.007715
437.00,0.008038
447.17,0.008407
457.34,0.008944
467.51,0.009521
477.69,0.010298
487.86,0.011354
498.03,0.012843
508.21,0.014798
518.38,0.016975
528.55,0.019074
538.72,0.020972
548.90,0.022770
559.07,0.025219
569.24,0.029015
579.42,0.033925
589.59,0.040668
599.76,0.049012
609.93,0.058941
620.11,0.070521
630.28,0.082688
640.45,0.096181
650.63,0.111633
660.80,0.127345
670.97,0.143691
681.14,0.159687
691.32,0.175102
701.49,0.189233
711.66,0.202213
721.84,0.214414
732.01,0.226126
742.18,0.236929
752.35,0.247601
762.53,0.257867
772.70,0.269207
782.87,0.279610
793.05,0.287974
803.22,0.295108
813.39,0.300620
823.56,0.304955
833.74,0.306779
843.91,0.306891
854.08,0.306290
864.26,0.304431
874.43,0.301785
884.60,0.298529
894.78,0.295914
904.95,0.293045
915.13,0.291217
925.30,0.290519
852.41,0.289326
862.58,0.287835
872.76,0.286949
882.94,0.286460
893.11,0.284380
903.29,0.284559
913.46,0.284976
923.64,0.285756
933.82,0.285182
943.99,0.288303
954.17,0.290353
964.34,0.293323
974.52,0.296056
984.70,0.299440
994.87,0.303837
1005.05,0.306931
1015.22,0.312791
1025.40,0.318710
1035.58,0.324462
1045.75,0.330691
1055.93,0.290692
1066.10,0.289602
1076.28,0.288140
1086.46,0.286974
1096.63,0.286844
1106.81,0.284752
1116.98,0.284435
1127.16,0.284778
1137.34,0.285630
1147.51,0.285326
1157.69,0.287040
1167.86,0.289812
1178.04,0.292270
1188.22,0.295142
1198.39,0.298252
1208.57,0.302426
1218.74,0.305352
1228.92,0.310736
1239.10,0.316617
1249.27,0.322135
1259.45,0.328269
1269.62,0.334145
1279.80,0.341166
1289.98,0.348840
1300.15,0.356253
1310.33,0.365001
1320.50,0.372940
1330.68,0.382385
1340.86,0.391558
1351.03,0.400386
1361.21,0.410111
1371.38,0.419068
1381.56,0.428789
1391.74,0.439425
1401.91,0.449121
1412.09,0.459492
1422.26,0.470550
1432.44,0.479989
1442.62,0.490028
1452.79,0.500679
1548.63,0.511009
1558.80,0.521012
1568.98,0.530712
1579.16,0.540157
1589.33,0.549262
1599.51,0.557620
1609.68,0.566184
1619.86,0.573552
1630.04,0.579810
1640.21,0.586178
1650.39,0.591214
1660.56,0.596062
1670.74,0.597543
1680.92,0.592980
1691.09,0.584933
1701.27,0.568525
1711.44,0.549756
1721.62,0.536380
1731.80,0.530623
1741.97,0.529139
1752.15,0.529558
1762.32,0.532154
1772.50,0.535424
1782.68,0.542341
1792.85,0.547313
1803.03,0.553498
1813.20,0.559810
1823.38,0.565055
1833.56,0.569056
1843.73,0.573770
1853.91,0.577635
1864.08,0.579738
1874.26,0.581544
1884.44,0.583938
1894.61,0.586272
1904.79,0.587044
1914.96,0.587464
1925.14,0.587188
1935.32,0.587764
1945.49,0.587095
1955.67,0.586198
1965.84,0.584346
1976.02,0.581555
1986.20,0.578221
1996.37,0.576929
2006.55,0.573859
2016.72,0.571556
2026.90,0.569064
2037.08,0.566650
2047.25,0.564953
2057.43,0.560891
2067.60,0.559791
2077.78,0.558425
2087.96,0.559019
2098.13,0.556019
2108.31,0.555971
2118.48,0.554604
2128.66,0.554661
2138.84,0.555123
2149.01,0.552967
2159.19,0.547786
2169.36,0.537687
2179.54,0.514711
2189.72,0.485766
2199.89,0.454505
2210.07,0.424265
2220.24,0.402288
2230.42,0.391087
2240.60,0.385782
2250.77,0.386975
2260.95,0.392078
2271.12,0.399402
2281.30,0.405310
2291.48,0.414833
2301.65,0.422865
2311.83,0.428376
2322.00,0.433021
2332.18,0.438768
2342.36,0.443009
2352.53,0.446950
2362.71,0.451725
2372.88,0.452116
2383.06,0.454573
2393.24,0.457838
2403.41,0.457766
2413.59,0.460012
2423.76,0.462211
2433.94,0.465753
